,구분,Month,pm2.5,pm10,o3,so2,no2,co
0,강남구,1월,43.0,61.0,0.01,0.037,0.7,0.006
1,강동구,1월,42.0,65.0,0.009,0.044,0.7,0.005
2,강북구,1월,39.0,71.0,0.018,0.031,0.7,0.004
3,강서구,1월,37.0,76.0,0.013,0.042,0.7,0.006
4,관악구,1월,42.0,72.0,0.011,0.047,0.7,0.005
5,광진구,1월,37.0,65.0,0.009,0.041,1.0,0.004
6,구로구,1월,30.0,67.0,0.012,0.037,0.5,0.007
7,금천구,1월,40.0,64.0,0.012,0.044,0.7,0.005
8,노원구,1월,42.0,68.0,0.011,0.04,0.8,0.007
9,도봉구,1월,36.0,62.0,0.017,0.03,0.9,0.005
10,동대문구,1월,42.0,61.0,0.013,0.037,0.8,0.008
11,동작구,1월,40.0,64.0,0.013,0.044,0.7,0.004
12,마포구,1월,38.0,73.0,0.01,0.03,0.7,0.003
13,서대문구,1월,39.0,66.0,0.012,0.032,1.1,0.005
14,서초구,1월,30.0,63.0,0.012,0.038,0.5,0.005
15,성동구,1월,41.0,75.0,0.012,0.042,0.7,0.004
16,성북구,1월,32.0,64.0,0.012,0.045,1.0,0.005
17,송파구,1월,37.0,69.0,0.009,0.047,0.8,0.005
18,양천구,1월,40.0,73.0,0.011,0.046,0.8,0.004
19,영등포구,1월,43.0,70.0,0.012,0.031,0.6,0.005
20,용산구,1월,35.0,54.0,0.01,0.043,0.7,0.004
21,은평구,1월,33.0,64.0,0.015,0.033,0.9,0.006
22,종로구,1월,33.0,60.0,0.013,0.042,0.8,0.005
23,중구,1월,33.0,60.0,0.014,0.042,0.7,0.005
24,중랑구,1월,36.0,58.0,0.012,0.035,0.7,0.007
25,강남구,2월,40.0,54.0,0.014,0.034,0.6,0.006
26,강동구,2월,39.0,58.0,0.015,0.04,0.6,0.004
27,강북구,2월,35.0,62.0,0.024,0.025,0.6,0.003
28,강서구,2월,35.0,65.0,0.02,0.037,0.7,0.006
29,관악구,2월,39.0,63.0,0.016,0.042,0.6,0.005
30,광진구,2월,35.0,56.0,0.015,0.036,0.9,0.004
