year,month,location,address,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck
2019,1,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211579,6337,16766,402,16506
2019,1,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159548,5206,13006,345,17140
2019,1,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,115009,4803,16276,288,15538
2019,1,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,90341,4029,20522,178,11194
2019,1,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63859,4032,21754,156,9371
2019,1,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,174447,7865,18558,417,21707
2019,1,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,174447,7865,18558,417,21707
2019,1,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103682,4857,24437,261,12675
2019,1,관악산,과천시 자하동길 64 (관악산 중계소),31110,0,0,0,0,0
2019,1,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83884,3889,18295,284,12568
2019,1,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120035,6436,15820,350,17660
2019,1,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69195,4461,11515,158,13472
2019,1,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67740,2590,15983,135,7131
2019,1,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,134082,5850,14886,343,13545
2019,1,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82172,3925,14710,222,11078
2019,1,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211579,6337,16766,402,16506
2019,1,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81190,3904,23663,175,13184
2019,1,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93380,3461,14962,386,8977
2019,1,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93380,3461,14962,386,8977
2019,1,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,101177,4401,17048,244,12221
2019,1,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63859,4032,21754,156,9371
2019,1,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,74741,3429,14879,314,8660
