,ID,year,month,location,no2,o3,co,so2,pm10,pm2.5,address,Y,pop_men<10s,pop_men10s,pop_men20s,pop_men30s,pop_men40s,pop_men50s,pop_men60s,pop_men>70s,pop_women<10s,pop_women10s,pop_women20s,pop_women30s,pop_women40s,pop_women50s,pop_women60s,pop_women>70s,x,y,height,road,tree,building,river,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck,gu
0,1,2019,1,강남구,0.037032258,0.009387097,0.712903226,0.006322581,61.77419355,44.16129032,서울 강남구 학동로 426 강남구청 별관 1동,3,927.0479743,602.9446955,921.7552315,1214.62868,1347.416389,1085.880496,798.8535318,1243.606349,904.5281289,570.9527232,1067.528055,1294.366411,1278.060354,993.7924985,998.258234,1822.240094,37.51796816,127.0470598,29,1,0,1,0,11230,211579,6337,16766,402,16506,강남구
1,2,2019,1,강남대로,0.054645161,0.007677419,0.980645161,0.005483871,71.67741935,40.32258065,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),3,926.6161369,527.5332651,856.4043586,1037.302014,1205.927117,988.9334616,776.5741118,1258.342268,1009.660905,576.0992014,913.6587256,1123.368663,1192.077696,943.8392927,957.0848002,1899.119346,37.48182784,127.0359572,28,1,1,1,0,11220,159548,5206,13006,345,17140,서초구
2,3,2019,1,강동구,0.044645161,0.009516129,0.709677419,0.005064516,65.16129032,41.61290323,서울 강동구 구천면로 42길 59 천호1동 주민센터,3,1050.551945,554.8330654,786.8976828,913.8714434,1016.953391,959.3809686,918.1938115,1278.124821,952.0670339,492.7388187,820.0414968,974.8712129,1050.131853,1076.579775,1167.344251,1906.923218,37.54500381,127.1368198,27,0,0,1,0,11250,115009,4803,16276,288,15538,강동구
3,4,2019,1,강변북로,0.055290323,0.007548387,0.638709677,0.004677419,71.29032258,40.48387097,서울 성동구 강변북로 257 한강사업본부 옆,3,715.9811681,307.9951886,939.6793285,887.3765636,800.3747157,683.9423731,600.6612696,837.3243954,639.901374,285.1107486,1028.09298,940.7402611,730.5379554,690.3040169,741.7904019,1422.251462,37.53896166,127.0416039,16,1,1,1,1,11040,90341,4029,20522,178,11194,성동구
4,5,2019,1,강북구,0.030645161,0.017451613,0.7,0.004,71.38709677,39.38709677,서울 강북구 삼양로 139길 49 우이동 주민센터,3,794.4888583,437.9833558,809.6333801,770.4861037,899.0332385,851.6552734,797.3604509,1481.038718,732.0702926,402.6557012,981.7042315,778.1785288,888.318072,989.7115318,1032.929955,2411.357303,37.64793425,127.0118697,43,0,1,1,0,11090,63859,4032,21754,156,9371,강북구
5,6,2019,1,강서구,0.042096774,0.013129032,0.738709677,0.006290323,75.41935484,37.38709677,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,3,1116.760642,502.8779895,804.8702406,1200.078714,1145.840155,892.0910729,858.8782027,1276.898823,1138.857398,500.1363756,942.8979553,1295.306428,1118.2291,977.7426308,1100.090743,2006.627539,37.54466973,126.8351791,20,0,0,1,0,11160,174447,7865,18558,417,21707,강서구
6,7,2019,1,공항대로,0.047516129,0.008806452,0.906451613,0.006387097,73.03225806,41.03225806,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,3,1116.760642,502.8779895,804.8702406,1200.078714,1145.840155,892.0910729,858.8782027,1276.898823,1138.857398,500.1363756,942.8979553,1295.306428,1118.2291,977.7426308,1100.090743,2006.627539,37.55964945,126.8287913,9,1,0,1,0,11160,174447,7865,18558,417,21707,강서구
7,8,2019,1,관악구,0.046741935,0.011483871,0.658064516,0.005548387,71.51612903,41.38709677,서울 관악구 신림동길 14 신림동 주민센터,3,654.8308531,324.500567,1199.1486,1438.723598,984.4740273,749.8819774,660.7248084,1115.275178,656.4536608,318.9038505,1436.564288,1207.022006,842.6902512,797.6599415,856.2300696,1652.991201,37.487396,126.9271139,20,0,0,1,0,11210,103682,4857,24437,261,12675,관악구
8,9,2019,1,광진구,0.041193548,0.009419355,1.012903226,0.004096774,65.09677419,37.03225806,서울 광진구 광나루로 571 구의 아리수정수센터,3,853.9565611,459.6631987,901.5157989,1061.324699,958.7839239,939.2149692,791.4159404,1148.370156,825.4062127,454.5433938,1052.019901,1135.298054,994.5687327,1011.209116,966.1863312,1757.509505,37.54594731,127.0929507,40,0,1,1,0,11050,83884,3889,18295,284,12568,광진구
9,10,2019,1,구로구,0.036741935,0.011483871,0.509677419,0.00683871,66.19354839,29.77419355,서울 구로구 가마산로 27길 45 구로고등학교,2,954.9588237,424.016672,766.6231237,1146.295301,1184.76741,952.2069254,876.5227991,1200.778923,909.2989925,398.0230559,854.8316237,1077.289666,997.3848114,951.1211847,1011.081139,1725.491821,37.49884008,126.8903092,10,0,0,1,0,11170,120035,6436,15820,350,17660,구로구
