,ID,year,month,location,no2,o3,co,so2,pm10,pm2.5,address,Y,pop_men<10s,pop_men10s,pop_men20s,pop_men30s,pop_men40s,pop_men50s,pop_men60s,pop_men>70s,pop_women<10s,pop_women10s,pop_women20s,pop_women30s,pop_women40s,pop_women50s,pop_women60s,pop_women>70s,x,y,height,road,tree,building,river,car_sedan,car_van,car_twowheels,car_special,car_truck,gu,tax,rain_count,total_rain
0,1,2019,1,강남구,0.037032258,0.009387097,0.712903226,0.006322581,61.77419355,44.16129032,서울 강남구 학동로 426 강남구청 별관 1동,3,927.05 ,602.94 ,921.76 ,1214.63 ,1347.42 ,1085.88 ,798.85 ,1243.61 ,904.53 ,570.95 ,1067.53 ,1294.37 ,1278.06 ,993.79 ,998.26 ,1822.24 ,37.51796816,127.0470598,29,1,0,1,0,211579,6337,16766,402,16506,강남구,3457856,,
1,2,2019,1,강남대로,0.054645161,0.007677419,0.980645161,0.005483871,71.67741935,40.32258065,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),3,926.62 ,527.53 ,856.40 ,1037.30 ,1205.93 ,988.93 ,776.57 ,1258.34 ,1009.66 ,576.10 ,913.66 ,1123.37 ,1192.08 ,943.84 ,957.08 ,1899.12 ,37.48182784,127.0359572,28,1,1,1,0,159548,5206,13006,345,17140,서초구,2010972,,
2,3,2019,1,강동구,0.044645161,0.009516129,0.709677419,0.005064516,65.16129032,41.61290323,서울 강동구 구천면로 42길 59 천호1동 주민센터,3,1050.55 ,554.83 ,786.90 ,913.87 ,1016.95 ,959.38 ,918.19 ,1278.12 ,952.07 ,492.74 ,820.04 ,974.87 ,1050.13 ,1076.58 ,1167.34 ,1906.92 ,37.54500381,127.1368198,27,0,0,1,0,115009,4803,16276,288,15538,강동구,703426,,
3,4,2019,1,강변북로,0.055290323,0.007548387,0.638709677,0.004677419,71.29032258,40.48387097,서울 성동구 강변북로 257 한강사업본부 옆,3,715.98 ,308.00 ,939.68 ,887.38 ,800.37 ,683.94 ,600.66 ,837.32 ,639.90 ,285.11 ,1028.09 ,940.74 ,730.54 ,690.30 ,741.79 ,1422.25 ,37.53896166,127.0416039,16,1,1,1,1,90341,4029,20522,178,11194,성동구,582273,,
4,5,2019,1,강북구,0.030645161,0.017451613,0.7,0.004,71.38709677,39.38709677,서울 강북구 삼양로 139길 49 우이동 주민센터,3,794.49 ,437.98 ,809.63 ,770.49 ,899.03 ,851.66 ,797.36 ,1481.04 ,732.07 ,402.66 ,981.70 ,778.18 ,888.32 ,989.71 ,1032.93 ,2411.36 ,37.64793425,127.0118697,43,0,1,1,0,63859,4032,21754,156,9371,강북구,234701,,
5,6,2019,1,강서구,0.042096774,0.013129032,0.738709677,0.006290323,75.41935484,37.38709677,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,3,1116.76 ,502.88 ,804.87 ,1200.08 ,1145.84 ,892.09 ,858.88 ,1276.90 ,1138.86 ,500.14 ,942.90 ,1295.31 ,1118.23 ,977.74 ,1100.09 ,2006.63 ,37.54466973,126.8351791,20,0,0,1,0,174447,7865,18558,417,21707,강서구,826542,,
6,7,2019,1,공항대로,0.047516129,0.008806452,0.906451613,0.006387097,73.03225806,41.03225806,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,3,1116.76 ,502.88 ,804.87 ,1200.08 ,1145.84 ,892.09 ,858.88 ,1276.90 ,1138.86 ,500.14 ,942.90 ,1295.31 ,1118.23 ,977.74 ,1100.09 ,2006.63 ,37.55964945,126.8287913,9,1,0,1,0,174447,7865,18558,417,21707,강서구,826542,,
7,8,2019,1,관악구,0.046741935,0.011483871,0.658064516,0.005548387,71.51612903,41.38709677,서울 관악구 신림동길 14 신림동 주민센터,3,654.83 ,324.50 ,1199.15 ,1438.72 ,984.47 ,749.88 ,660.72 ,1115.28 ,656.45 ,318.90 ,1436.56 ,1207.02 ,842.69 ,797.66 ,856.23 ,1652.99 ,37.487396,126.9271139,20,0,0,1,0,103682,4857,24437,261,12675,관악구,406752,0,0
8,9,2019,1,광진구,0.041193548,0.009419355,1.012903226,0.004096774,65.09677419,37.03225806,서울 광진구 광나루로 571 구의 아리수정수센터,3,853.96 ,459.66 ,901.52 ,1061.32 ,958.78 ,939.21 ,791.42 ,1148.37 ,825.41 ,454.54 ,1052.02 ,1135.30 ,994.57 ,1011.21 ,966.19 ,1757.51 ,37.54594731,127.0929507,40,0,1,1,0,83884,3889,18295,284,12568,광진구,443149,,
9,10,2019,1,구로구,0.036741935,0.011483871,0.509677419,0.00683871,66.19354839,29.77419355,서울 구로구 가마산로 27길 45 구로고등학교,2,954.96 ,424.02 ,766.62 ,1146.30 ,1184.77 ,952.21 ,876.52 ,1200.78 ,909.30 ,398.02 ,854.83 ,1077.29 ,997.38 ,951.12 ,1011.08 ,1725.49 ,37.49884008,126.8903092,10,0,0,1,0,120035,6436,15820,350,17660,구로구,477101,,
10,11,2019,1,금천구,0.043741935,0.011580645,0.725806452,0.005193548,63.96774194,39.61290323,서울 금천구 금하로21길 20 시흥5동 주민센터,3,606.70 ,293.60 ,580.45 ,824.65 ,774.68 ,749.87 ,707.87 ,922.88 ,612.58 ,304.55 ,593.67 ,771.45 ,693.27 ,790.56 ,837.73 ,1389.36 ,37.45233457,126.9080537,25,0,0,1,0,69195,4461,11515,158,13472,금천구,469419,,
11,12,2019,1,남산,0.039516129,0.016032258,1.122580645,0.005903226,63.67741935,30,서울 용산구 남산공원길 103 (서울타워 별관 2층),2,441.67 ,219.79 ,560.61 ,776.72 ,708.05 ,555.35 ,461.27 ,730.12 ,468.71 ,230.09 ,652.01 ,784.59 ,655.80 ,518.51 ,545.90 ,1235.74 ,37.5511821,126.9876498,260,0,1,0,0,67740,2590,15983,135,7131,용산구,764486,,
12,13,2019,1,노원구,0.040193548,0.011451613,0.812903226,0.007096774,68.16129032,41.90322581,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),3,1047.10 ,695.67 ,1074.48 ,806.99 ,1018.49 ,1070.93 ,936.12 ,1345.70 ,1031.15 ,673.14 ,1120.74 ,904.50 ,1143.58 ,1214.74 ,1166.25 ,2406.17 ,37.65748313,127.0678641,30,0,0,1,0,134082,5850,14886,343,13545,노원구,346657,0,0
