location,address,admin_region,x,y,height,road,tree,building,river,cluster
강남구,서울 강남구 학동로 426 강남구청 별관 1동,삼성2동,37.51796816,127.0470598,29,1,0,1,0,1
강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),양재1동,37.48182784,127.0359572,28,1,1,1,0,3
강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,천호1동,37.54500381,127.1368198,27,0,0,1,0,1
강변북로,서울 성동구 강변북로 257 한강사업본부 옆,성수동,37.53896166,127.0416039,16,1,1,1,1,3
강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,수유제1동,37.64793425,127.0118697,43,0,1,1,0,1
강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,화곡제3동,37.54466973,126.8351791,20,0,0,1,0,1
공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,가양제1동,37.55964945,126.8287913,9,1,0,1,0,3
관악구,서울 관악구 신림동길 14 신림동 주민센터,신림동,37.487396,126.9271139,20,0,0,1,0,1
관악산,과천시 자하동길 64 (관악산 중계소),중앙동,37.44112664,126.9644471,588,0,1,0,0,0
광진구,서울 광진구 광나루로 571 구의 아리수정수센터,구의제2동,37.54594731,127.0929507,40,0,1,1,0,2
구로구,서울 구로구 가마산로 27길 45 구로고등학교,구로제5동,37.49884008,126.8903092,10,0,0,1,0,1
금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,시흥제5동,37.45233457,126.9080537,25,0,0,1,0,1
남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),용산2가동,37.5511821,126.9876498,260,0,1,0,0,2
노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),상계2동,37.65748313,127.0678641,30,0,0,1,0,1
도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,쌍문4동,37.6542176,127.0290801,67,0,1,0,0,2
도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,신사동,37.51607746,127.0203412,24,1,0,1,0,3
동대문구,서울 동대문구 천호대로13길 43 용두초등학교,용신동,37.57640498,127.028382,18,1,0,1,0,2
동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,사당제4동,37.48097575,126.9716337,26,0,0,1,0,1
