"ID","year","month","location","no2","o3","co","so2","pm10","pm2.5","address","Y"
1,2019,1,"강남구",0.037032258,0.009387097,0.712903226,0.006322581,61.77419355,44.16129032,"서울 강남구 학동로 426 강남구청 별관 1동",3
2,2019,1,"강남대로",0.054645161,0.007677419,0.980645161,0.005483871,71.67741935,40.32258065,"서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동)",3
3,2019,1,"강동구",0.044645161,0.009516129,0.709677419,0.005064516,65.16129032,41.61290323,"서울 강동구 구천면로 42길 59 천호1동 주민센터",3
4,2019,1,"강변북로",0.055290323,0.007548387,0.638709677,0.004677419,71.29032258,40.48387097,"서울 성동구 강변북로 257 한강사업본부 옆",3
5,2019,1,"강북구",0.030645161,0.017451613,0.7,0.004,71.38709677,39.38709677,"서울 강북구 삼양로 139길 49 우이동 주민센터",3
6,2019,1,"강서구",0.042096774,0.013129032,0.738709677,0.006290323,75.41935484,37.38709677,"서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관",3
7,2019,1,"공항대로",0.047516129,0.008806452,0.906451613,0.006387097,73.03225806,41.03225806,"서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆",3
8,2019,1,"관악구",0.046741935,0.011483871,0.658064516,0.005548387,71.51612903,41.38709677,"서울 관악구 신림동길 14 신림동 주민센터",3
9,2019,1,"광진구",0.041193548,0.009419355,1.012903226,0.004096774,65.09677419,37.03225806,"서울 광진구 광나루로 571 구의 아리수정수센터",3
10,2019,1,"구로구",0.036741935,0.011483871,0.509677419,0.00683871,66.19354839,29.77419355,"서울 구로구 가마산로 27길 45 구로고등학교",2
11,2019,1,"금천구",0.043741935,0.011580645,0.725806452,0.005193548,63.96774194,39.61290323,"서울 금천구 금하로21길 20 시흥5동 주민센터",3
12,2019,1,"남산",0.039516129,0.016032258,1.122580645,0.005903226,63.67741935,30,"서울 용산구 남산공원길 103 (서울타워 별관 2층)",2
13,2019,1,"노원구",0.040193548,0.011451613,0.812903226,0.007096774,68.16129032,41.90322581,"서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소)",3
14,2019,1,"도산대로",0.035064516,0.009580645,1.022580645,0.004225806,70.80645161,38.32258065,"서울 강남구 도산대로 104 신사역2번출구 앞",3
15,2019,1,"동대문구",0.036903226,0.013483871,0.832258065,0.008290323,61.51612903,42.29032258,"서울 동대문구 천호대로13길 43 용두초등학교",3
16,2019,1,"동작구",0.044322581,0.013193548,0.674193548,0.004290323,63.93548387,39.74193548,"서울 동작구 사당로16아길 6 사당4동 주민센터",3
17,2019,1,"동작대로",0.039451613,0.007612903,0.790322581,0.007774194,71.38709677,36,"서울 동작구 사당2동 739 이수역 북단 버스중앙차로",3
18,2019,1,"마포구",0.03,0.010322581,0.677419355,0.003483871,73.29032258,38.22580645,"서울 마포구 포은로 6길 10 망원1동주민센터 옥상",3
19,2019,1,"북한산",0.017451613,0.022806452,0.65483871,0.00416129,57.16129032,33.03225806,"서울 강북구 삼양로 181길 387 (우이령 전경대 위)",2
20,2019,1,"서대문구",0.032354839,0.012451613,1.122580645,0.005419355,65.74193548,39.03225806,"서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ",3
21,2019,1,"서초구",0.038,0.012258065,0.506451613,0.005096774,63.41935484,29.67741935,"서울 서초구 신반포로15길 16 반포 2동 주민센터",2
22,2019,1,"성동구",0.041903226,0.011903226,0.732258065,0.004032258,75.32258065,41.19354839,"서울 성동구 뚝섬로3길 18 성수1가1동주민센터",3
23,2019,1,"성북구",0.045096774,0.012387097,0.974193548,0.004677419,64,31.93548387,"서울 성북구 삼양로2길 70 길음2동 주민센터",2
24,2019,1,"세곡",0.04316129,0.01183871,1.767741935,0.006612903,63.32258065,30.5483871,"서울 강남구 밤고개로 337 (세곡사거리)",2
25,2019,1,"송파구",0.047129032,0.009032258,0.767741935,0.00516129,68.12903226,36.70967742,"서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동)",3
26,2019,1,"시흥대로",0.047903226,0.011290323,0.861290323,0.005774194,57.90322581,33.4516129,"서울 금천구 독산동 996-9 한양수자인아파트 앞",2
27,2019,1,"신촌로",0.054741935,0.006935484,0.964516129,0.005612903,57.77419355,36.87096774,"서울 마포구 노고산동 57-62 (신촌역 7번 출구)",3
28,2019,1,"양천구",0.045354839,0.010903226,0.780645161,0.003516129,72.41935484,40.03225806,"서울 양천구 중앙로52길 56 신정4동 문화센터",3
29,2019,1,"영등포구",0.031419355,0.011870968,0.641935484,0.004451613,69.58064516,43.29032258,"서울 영등포구 당산로 123 영등포구청 (당산동3가)",3
30,2019,1,"영등포로",0.052548387,0.007967742,0.935483871,0.005451613,56.64516129,30,"서울 영등포구 영중로 37 (영등포시장사거리)",2
31,2019,1,"은평구",0.032580645,0.015548387,0.864516129,0.005741935,63.77419355,33.06451613,"서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 )",2
