year,month,location,address,a_d_classification,car_sedan,car_van,car_twowheels,car_special,car_truck,year_month
2019,1,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211579.0,6337.0,16766.0,402.0,16506.0,2019_1
2019,1,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159548.0,5206.0,13006.0,345.0,17140.0,2019_1
2019,1,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,115009.0,4803.0,16276.0,288.0,15538.0,2019_1
2019,1,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,90341.0,4029.0,20522.0,178.0,11194.0,2019_1
2019,1,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63859.0,4032.0,21754.0,156.0,9371.0,2019_1
2019,1,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,174447.0,7865.0,18558.0,417.0,21707.0,2019_1
2019,1,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,174447.0,7865.0,18558.0,417.0,21707.0,2019_1
2019,1,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103682.0,4857.0,24437.0,261.0,12675.0,2019_1
2019,1,관악산,과천시 자하동길 64 (관악산 중계소),31110,0.0,0.0,0.0,0.0,0.0,2019_1
2019,1,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83884.0,3889.0,18295.0,284.0,12568.0,2019_1
2019,1,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120035.0,6436.0,15820.0,350.0,17660.0,2019_1
2019,1,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69195.0,4461.0,11515.0,158.0,13472.0,2019_1
2019,1,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67740.0,2590.0,15983.0,135.0,7131.0,2019_1
2019,1,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,134082.0,5850.0,14886.0,343.0,13545.0,2019_1
2019,1,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82172.0,3925.0,14710.0,222.0,11078.0,2019_1
2019,1,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211579.0,6337.0,16766.0,402.0,16506.0,2019_1
2019,1,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81190.0,3904.0,23663.0,175.0,13184.0,2019_1
2019,1,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93380.0,3461.0,14962.0,386.0,8977.0,2019_1
2019,1,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93380.0,3461.0,14962.0,386.0,8977.0,2019_1
2019,1,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,101177.0,4401.0,17048.0,244.0,12221.0,2019_1
2019,1,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63859.0,4032.0,21754.0,156.0,9371.0,2019_1
2019,1,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,74741.0,3429.0,14879.0,314.0,8660.0,2019_1
2019,1,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159548.0,5206.0,13006.0,345.0,17140.0,2019_1
2019,1,성동구,서울 성동구 뚝섬로3길 18 성수1가1동주민센터,11040,90341.0,4029.0,20522.0,178.0,11194.0,2019_1
2019,1,성북구,서울 성북구 삼양로2길 70 길음2동 주민센터,11080,100121.0,5304.0,26201.0,154.0,11045.0,2019_1
2019,1,세곡,서울 강남구 밤고개로 337 (세곡사거리),11230,211579.0,6337.0,16766.0,402.0,16506.0,2019_1
2019,1,송파구,서울 송파구 백제고분로 236 삼전동 주민센터 (삼전동),11240,203131.0,7329.0,19586.0,389.0,26847.0,2019_1
2019,1,시흥대로,서울 금천구 독산동 996-9 한양수자인아파트 앞,11180,69195.0,4461.0,11515.0,158.0,13472.0,2019_1
2019,1,신촌로,서울 마포구 노고산동 57-62 (신촌역 7번 출구),11140,101177.0,4401.0,17048.0,244.0,12221.0,2019_1
2019,1,양천구,서울 양천구 중앙로52길 56 신정4동 문화센터,11150,129193.0,5245.0,18578.0,552.0,15691.0,2019_1
2019,1,영등포구,서울 영등포구 당산로 123 영등포구청 (당산동3가),11190,117438.0,5476.0,16318.0,1163.0,19693.0,2019_1
2019,1,영등포로,서울 영등포구 영중로 37 (영등포시장사거리),11190,117438.0,5476.0,16318.0,1163.0,19693.0,2019_1
2019,1,용산구,서울 용산구 이태원로 224-19 (한남동) 한남로 복합문화센터,11030,67740.0,2590.0,15983.0,135.0,7131.0,2019_1
2019,1,은평구,서울 은평구 진흥로 215 (한국환경산업기술원 온실동2층 ),11120,110936.0,5420.0,20851.0,266.0,13432.0,2019_1
2019,1,정릉로,서울 성북구 돈암동 8-164번지 ,11080,100121.0,5304.0,26201.0,154.0,11045.0,2019_1
2019,1,종로,서울 종로구 종로 169 (종묘주차장 앞),11010,41223.0,3910.0,13118.0,185.0,5403.0,2019_1
2019,1,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",11010,41223.0,3910.0,13118.0,185.0,5403.0,2019_1
2019,1,중구,서울 중구 덕수궁길 15 시청서소문별관 3동,11020,41072.0,3379.0,14585.0,223.0,7220.0,2019_1
2019,1,중랑구,서울 중랑구 용마산로 369 건강가정지원센터,11070,93204.0,4923.0,24221.0,414.0,15618.0,2019_1
2019,1,천호대로,서울 강동구 천호대로 1151 길동사거리 강동성모요양병원 앞),11250,115009.0,4803.0,16276.0,288.0,15538.0,2019_1
2019,1,청계천로,서울 중구 청계천로 184 (청계천4가사거리 남강빌딩 앞),11020,41072.0,3379.0,14585.0,223.0,7220.0,2019_1
2019,1,한강대로,서울 용산구 한강대로 405 (서울역 앞),11030,67740.0,2590.0,15983.0,135.0,7131.0,2019_1
2019,1,행주,김포시 고촌읍 은행영사정로 197 (신곡수중보 관리사무소),31230,0.0,0.0,0.0,0.0,0.0,2019_1
2019,1,홍릉로,서울 동대문구 홍릉로 1 (청량리전철역 사거리 SC제일은행 앞),11060,81190.0,3904.0,23663.0,175.0,13184.0,2019_1
2019,1,화랑로,서울 노원구 화랑로 429 태능입구역 8번 출구,11110,134082.0,5850.0,14886.0,343.0,13545.0,2019_1
2019,2,강남구,서울 강남구 학동로 426 강남구청 별관 1동,11230,211680.0,6327.0,16749.0,399.0,16434.0,2019_2
2019,2,강남대로,서울 서초구 강남대로 201 서초구민회관 앞 중앙차로 (양재동),11220,159626.0,5151.0,12971.0,349.0,17126.0,2019_2
2019,2,강동구,서울 강동구 구천면로 42길 59 천호1동 주민센터,11250,115088.0,4810.0,16276.0,292.0,15535.0,2019_2
2019,2,강변북로,서울 성동구 강변북로 257 한강사업본부 옆,11040,89881.0,4015.0,20463.0,177.0,11150.0,2019_2
2019,2,강북구,서울 강북구 삼양로 139길 49 우이동 주민센터,11090,63802.0,4014.0,21735.0,161.0,9373.0,2019_2
2019,2,강서구,서울 강서구 강서로 45 다길 71 화곡3동 푸른들청소년도서관,11160,173856.0,7829.0,18553.0,412.0,21706.0,2019_2
2019,2,공항대로,서울 강서구 마곡동 727-1091 마곡역 중앙차로정류장 옆,11160,173856.0,7829.0,18553.0,412.0,21706.0,2019_2
2019,2,관악구,서울 관악구 신림동길 14 신림동 주민센터,11210,103541.0,4853.0,24407.0,260.0,12660.0,2019_2
2019,2,관악산,과천시 자하동길 64 (관악산 중계소),31110,0.0,0.0,0.0,0.0,0.0,2019_2
2019,2,광진구,서울 광진구 광나루로 571 구의 아리수정수센터,11050,83952.0,3869.0,18246.0,285.0,12560.0,2019_2
2019,2,구로구,서울 구로구 가마산로 27길 45 구로고등학교,11170,120310.0,6385.0,15821.0,355.0,17634.0,2019_2
2019,2,금천구,서울 금천구 금하로21길 20 시흥5동 주민센터,11180,69338.0,4471.0,11475.0,160.0,13516.0,2019_2
2019,2,남산,서울 용산구 남산공원길 103 (서울타워 별관 2층),11030,67532.0,2576.0,15990.0,135.0,7093.0,2019_2
2019,2,노원구,서울 노원구 상계로 118 상계2동 주민센터 (23길 17 노원구 원터행복발전소),11110,134030.0,5808.0,14863.0,341.0,13534.0,2019_2
2019,2,도봉구,서울 도봉구 시루봉로2길 34 쌍문동청소년문화의집,11100,82143.0,3920.0,14666.0,230.0,11092.0,2019_2
2019,2,도산대로,서울 강남구 도산대로 104 신사역2번출구 앞,11230,211680.0,6327.0,16749.0,399.0,16434.0,2019_2
2019,2,동대문구,서울 동대문구 천호대로13길 43 용두초등학교,11060,81221.0,3883.0,23629.0,164.0,13126.0,2019_2
2019,2,동작구,서울 동작구 사당로16아길 6 사당4동 주민센터,11200,93618.0,3432.0,14983.0,383.0,8954.0,2019_2
2019,2,동작대로,서울 동작구 사당2동 739 이수역 북단 버스중앙차로,11200,93618.0,3432.0,14983.0,383.0,8954.0,2019_2
2019,2,마포구,서울 마포구 포은로 6길 10 망원1동주민센터 옥상,11140,101168.0,4389.0,17005.0,241.0,12198.0,2019_2
2019,2,북한산,서울 강북구 삼양로 181길 387 (우이령 전경대 위),11090,63802.0,4014.0,21735.0,161.0,9373.0,2019_2
2019,2,서대문구,서울 서대문구 세검정로4길 32 (홍제3동 주민센터) ,11130,75056.0,3439.0,14858.0,317.0,8686.0,2019_2
2019,2,서초구,서울 서초구 신반포로15길 16 반포 2동 주민센터,11220,159626.0,5151.0,12971.0,349.0,17126.0,2019_2
