,date,gu,rain_count,total_rain
0,2019.1.1,관악구,0,0
1,2019.1.1,노원구,0,0
2,2019.1.1,영등포구,0,0
3,2019.1.1,은평구,0,0
4,2019.2.1,강남구,9,89
5,2019.2.1,강북구,3,27.5
6,2019.2.1,관악구,6,58
7,2019.2.1,광진구,2,6
8,2019.2.1,구로구,3,23.5
9,2019.2.1,금천구,6,50.5
10,2019.2.1,노원구,6,58
11,2019.2.1,도봉구,3,32.5
12,2019.2.1,동대문구,8,53.5
13,2019.2.1,동작구,9,56
14,2019.2.1,마포구,10,51
15,2019.2.1,서대문구,4,23
16,2019.2.1,서초구,9,61
17,2019.2.1,성동구,8,51.5
18,2019.2.1,성북구,8,55
19,2019.2.1,송파구,7,57
20,2019.2.1,양천구,7,49.5
21,2019.2.1,영등포구,6,46.5
22,2019.2.1,용산구,9,50.5
23,2019.2.1,은평구,7,45
24,2019.2.1,종로구,4,28.5
25,2019.2.1,중구,4,26.5
26,2019.2.1,중랑구,7,52
27,2019.3.1,강남구,15,100.5
28,2019.3.1,강동구,6,41.5
29,2019.3.1,강북구,5,31
30,2019.3.1,관악구,11,68.5
31,2019.3.1,광진구,6,34
32,2019.3.1,구로구,5,27.5
33,2019.3.1,금천구,10,59.5
34,2019.3.1,노원구,12,57
35,2019.3.1,도봉구,7,32
36,2019.3.1,동대문구,10,60.5
37,2019.3.1,동작구,8,65
38,2019.3.1,마포구,10,55.5
39,2019.3.1,서대문구,5,27
40,2019.3.1,서초구,10,76
41,2019.3.1,성동구,11,59.5
42,2019.3.1,성북구,12,60
43,2019.3.1,송파구,11,65
44,2019.3.1,양천구,10,53
45,2019.3.1,영등포구,10,52
46,2019.3.1,용산구,10,61.5
47,2019.3.1,은평구,4,22
48,2019.3.1,종로구,5,31.5
49,2019.3.1,중구,6,31
50,2019.3.1,중랑구,12,57
51,2019.4.1,강남구,10,67
52,2019.4.1,강동구,7,45
53,2019.4.1,강북구,7,53.5
54,2019.4.1,강서구,8,28
55,2019.4.1,관악구,15,81.5
56,2019.4.1,광진구,8,50.5
57,2019.4.1,구로구,7,33.5
58,2019.4.1,금천구,14,67
59,2019.4.1,노원구,5,45
60,2019.4.1,도봉구,4,21.5
61,2019.4.1,동대문구,14,91
62,2019.4.1,동작구,15,80
63,2019.4.1,마포구,17,73.5
64,2019.4.1,서대문구,8,40
65,2019.4.1,서초구,14,84
66,2019.4.1,성동구,15,75.5
67,2019.4.1,성북구,14,74.5
68,2019.4.1,송파구,13,78.5
69,2019.4.1,양천구,15,63
70,2019.4.1,영등포구,15,64.5
71,2019.4.1,용산구,16,72.5
72,2019.4.1,은평구,26,128.5
73,2019.4.1,종로구,9,46
74,2019.4.1,중구,0,0
75,2019.4.1,중랑구,14,93.5
76,2019.5.1,강남구,11,130.5
77,2019.5.1,강동구,4,39.5
78,2019.5.1,강북구,3,40
79,2019.5.1,강서구,6,55.5
80,2019.5.1,관악구,6,50.5
81,2019.5.1,광진구,3,24.5
82,2019.5.1,구로구,3,24
83,2019.5.1,금천구,6,39.5
84,2019.5.1,노원구,3,42.5
85,2019.5.1,도봉구,3,51
86,2019.5.1,동대문구,6,63.5
87,2019.5.1,동작구,6,57.5
88,2019.5.1,마포구,6,56.5
89,2019.5.1,서대문구,3,30
90,2019.5.1,서초구,5,46.5
91,2019.5.1,성동구,6,58.5
92,2019.5.1,성북구,3,35
93,2019.5.1,송파구,6,38
94,2019.5.1,양천구,7,85
95,2019.5.1,영등포구,6,35.5
96,2019.5.1,용산구,6,54.5
97,2019.5.1,은평구,12,104
98,2019.5.1,종로구,3,37.5
99,2019.5.1,중구,3,29.5
100,2019.5.1,중랑구,6,50.5
101,2019.6.1,강남구,22,209
102,2019.6.1,강동구,16,127
103,2019.6.1,강북구,10,64
104,2019.6.1,강서구,14,175.5
105,2019.6.1,관악구,15,168
106,2019.6.1,광진구,8,71.5
107,2019.6.1,구로구,9,100.5
108,2019.6.1,금천구,14,144.5
109,2019.6.1,노원구,8,66.5
110,2019.6.1,도봉구,8,65
111,2019.6.1,동대문구,15,130.5
112,2019.6.1,동작구,16,194
113,2019.6.1,마포구,18,148
114,2019.6.1,서대문구,8,79.5
115,2019.6.1,서초구,14,159.5
116,2019.6.1,성동구,14,129.5
117,2019.6.1,성북구,13,88.5
118,2019.6.1,송파구,12,118
119,2019.6.1,양천구,15,151.5
120,2019.6.1,영등포구,15,142
121,2019.6.1,용산구,16,150
122,2019.6.1,은평구,24,224.5
123,2019.6.1,종로구,9,69.5
124,2019.6.1,중구,9,71
125,2019.6.1,중랑구,14,140.5
126,2019.7.1,강남구,29,791.5
127,2019.7.1,강동구,24,586
128,2019.7.1,강북구,15,231
129,2019.7.1,강서구,25,365.5
130,2019.7.1,관악구,27,398
131,2019.7.1,광진구,12,280.5
132,2019.7.1,구로구,13,218
133,2019.7.1,금천구,25,407.5
134,2019.7.1,노원구,12,253.5
135,2019.7.1,도봉구,12,279.5
136,2019.7.1,동대문구,28,538
137,2019.7.1,동작구,23,402.5
138,2019.7.1,마포구,19,255
139,2019.7.1,서대문구,14,190.5
140,2019.7.1,서초구,27,473
141,2019.7.1,성동구,26,490
142,2019.7.1,성북구,28,447.5
143,2019.7.1,송파구,22,512
144,2019.7.1,양천구,25,382
145,2019.7.1,영등포구,25,396.5
146,2019.7.1,용산구,25,393.5
147,2019.7.1,은평구,38,665.5
148,2019.7.1,종로구,13,200
149,2019.7.1,중구,13,189.5
150,2019.7.1,중랑구,31,622
151,2019.8.1,강남구,29,569
152,2019.8.1,강동구,24,394.5
153,2019.8.1,강북구,12,182.5
154,2019.8.1,강서구,21,295
155,2019.8.1,관악구,21,462.5
156,2019.8.1,광진구,9,214
157,2019.8.1,구로구,11,190
158,2019.8.1,금천구,19,360
159,2019.8.1,노원구,11,163
160,2019.8.1,도봉구,12,146.5
161,2019.8.1,동대문구,23,389
162,2019.8.1,동작구,23,482.5
163,2019.8.1,마포구,17,253.5
164,2019.8.1,서대문구,13,196
165,2019.8.1,서초구,22,428
166,2019.8.1,성동구,19,399
167,2019.8.1,성북구,23,354.5
168,2019.8.1,송파구,22,376.5
169,2019.8.1,양천구,22,370
170,2019.8.1,영등포구,24,384
171,2019.8.1,용산구,24,392
172,2019.8.1,은평구,36,481
173,2019.8.1,종로구,9,145
174,2019.8.1,중구,11,196.5
175,2019.8.1,중랑구,25,412
176,2019.9.1,강남구,30,426
177,2019.9.1,강동구,21,289
178,2019.9.1,강북구,9,133
179,2019.9.1,강서구,14,343.5
180,2019.9.1,관악구,20,340
181,2019.9.1,광진구,9,127.5
182,2019.9.1,구로구,8,159.5
183,2019.9.1,금천구,19,321
184,2019.9.1,노원구,9,107.5
185,2019.9.1,도봉구,10,145.5
186,2019.9.1,동대문구,18,228
187,2019.9.1,동작구,21,318.5
188,2019.9.1,마포구,15,367
189,2019.9.1,서대문구,7,160.5
190,2019.9.1,서초구,20,273.5
191,2019.9.1,성동구,18,225.5
192,2019.9.1,성북구,17,232
193,2019.9.1,송파구,20,286.5
194,2019.9.1,양천구,16,320
195,2019.9.1,영등포구,17,338.5
196,2019.9.1,용산구,21,233
197,2019.9.1,은평구,23,542
198,2019.9.1,종로구,7,127
199,2019.9.1,중구,9,117.5
200,2019.9.1,중랑구,20,235
201,2019.10.1,강남구,16,192.5
202,2019.10.1,강동구,9,126.5
203,2019.10.1,강북구,4,43.5
204,2019.10.1,강서구,9,64
205,2019.10.1,관악구,9,99
206,2019.10.1,광진구,5,64
207,2019.10.1,구로구,5,48
208,2019.10.1,금천구,10,97
209,2019.10.1,노원구,5,42
210,2019.10.1,도봉구,5,53
211,2019.10.1,동대문구,10,90.5
212,2019.10.1,동작구,11,102.5
213,2019.10.1,마포구,11,97.5
214,2019.10.1,서대문구,4,44.5
215,2019.10.1,서초구,9,117.5
216,2019.10.1,성동구,10,95
217,2019.10.1,성북구,9,89
218,2019.10.1,송파구,11,116
219,2019.10.1,양천구,9,78.5
220,2019.10.1,영등포구,8,81.5
221,2019.10.1,용산구,9,101
222,2019.10.1,은평구,12,92.5
223,2019.10.1,종로구,7,47.5
224,2019.10.1,중구,5,41
225,2019.10.1,중랑구,12,101.5
226,2019.11.1,강남구,9,44.5
227,2019.11.1,강동구,14,170
228,2019.11.1,강북구,7,81.5
229,2019.11.1,강서구,6,42
230,2019.11.1,관악구,13,96
