"행정구역","2022년07월_거주자_총인구수","2022년07월_거주자_연령구간인구수","2022년07월_거주자_0~9세","2022년07월_거주자_10~19세","2022년07월_거주자_20~29세","2022년07월_거주자_30~39세","2022년07월_거주자_40~49세","2022년07월_거주자_50~59세","2022년07월_거주자_60~69세","2022년07월_남_거주자_총인구수","2022년07월_남_거주자_연령구간인구수","2022년07월_남_거주자_0~9세","2022년07월_남_거주자_10~19세","2022년07월_남_거주자_20~29세","2022년07월_남_거주자_30~39세","2022년07월_남_거주자_40~49세","2022년07월_남_거주자_50~59세","2022년07월_남_거주자_60~69세","2022년07월_여_거주자_총인구수","2022년07월_여_거주자_연령구간인구수","2022년07월_여_거주자_0~9세","2022년07월_여_거주자_10~19세","2022년07월_여_거주자_20~29세","2022년07월_여_거주자_30~39세","2022년07월_여_거주자_40~49세","2022년07월_여_거주자_50~59세","2022년07월_여_거주자_60~69세","2022년08월_거주자_총인구수","2022년08월_거주자_연령구간인구수","2022년08월_거주자_0~9세","2022년08월_거주자_10~19세","2022년08월_거주자_20~29세","2022년08월_거주자_30~39세","2022년08월_거주자_40~49세","2022년08월_거주자_50~59세","2022년08월_거주자_60~69세","2022년08월_남_거주자_총인구수","2022년08월_남_거주자_연령구간인구수","2022년08월_남_거주자_0~9세","2022년08월_남_거주자_10~19세","2022년08월_남_거주자_20~29세","2022년08월_남_거주자_30~39세","2022년08월_남_거주자_40~49세","2022년08월_남_거주자_50~59세","2022년08월_남_거주자_60~69세","2022년08월_여_거주자_총인구수","2022년08월_여_거주자_연령구간인구수","2022년08월_여_거주자_0~9세","2022년08월_여_거주자_10~19세","2022년08월_여_거주자_20~29세","2022년08월_여_거주자_30~39세","2022년08월_여_거주자_40~49세","2022년08월_여_거주자_50~59세","2022년08월_여_거주자_60~69세","2022년09월_거주자_총인구수","2022년09월_거주자_연령구간인구수","2022년09월_거주자_0~9세","2022년09월_거주자_10~19세","2022년09월_거주자_20~29세","2022년09월_거주자_30~39세","2022년09월_거주자_40~49세","2022년09월_거주자_50~59세","2022년09월_거주자_60~69세","2022년09월_남_거주자_총인구수","2022년09월_남_거주자_연령구간인구수","2022년09월_남_거주자_0~9세","2022년09월_남_거주자_10~19세","2022년09월_남_거주자_20~29세","2022년09월_남_거주자_30~39세","2022년09월_남_거주자_40~49세","2022년09월_남_거주자_50~59세","2022년09월_남_거주자_60~69세","2022년09월_여_거주자_총인구수","2022년09월_여_거주자_연령구간인구수","2022년09월_여_거주자_0~9세","2022년09월_여_거주자_10~19세","2022년09월_여_거주자_20~29세","2022년09월_여_거주자_30~39세","2022년09월_여_거주자_40~49세","2022년09월_여_거주자_50~59세","2022년09월_여_거주자_60~69세","2022년10월_거주자_총인구수","2022년10월_거주자_연령구간인구수","2022년10월_거주자_0~9세","2022년10월_거주자_10~19세","2022년10월_거주자_20~29세","2022년10월_거주자_30~39세","2022년10월_거주자_40~49세","2022년10월_거주자_50~59세","2022년10월_거주자_60~69세","2022년10월_남_거주자_총인구수","2022년10월_남_거주자_연령구간인구수","2022년10월_남_거주자_0~9세","2022년10월_남_거주자_10~19세","2022년10월_남_거주자_20~29세","2022년10월_남_거주자_30~39세","2022년10월_남_거주자_40~49세","2022년10월_남_거주자_50~59세","2022년10월_남_거주자_60~69세","2022년10월_여_거주자_총인구수","2022년10월_여_거주자_연령구간인구수","2022년10월_여_거주자_0~9세","2022년10월_여_거주자_10~19세","2022년10월_여_거주자_20~29세","2022년10월_여_거주자_30~39세","2022년10월_여_거주자_40~49세","2022년10월_여_거주자_50~59세","2022년10월_여_거주자_60~69세","2022년11월_거주자_총인구수","2022년11월_거주자_연령구간인구수","2022년11월_거주자_0~9세","2022년11월_거주자_10~19세","2022년11월_거주자_20~29세","2022년11월_거주자_30~39세","2022년11월_거주자_40~49세","2022년11월_거주자_50~59세","2022년11월_거주자_60~69세","2022년11월_남_거주자_총인구수","2022년11월_남_거주자_연령구간인구수","2022년11월_남_거주자_0~9세","2022년11월_남_거주자_10~19세","2022년11월_남_거주자_20~29세","2022년11월_남_거주자_30~39세","2022년11월_남_거주자_40~49세","2022년11월_남_거주자_50~59세","2022년11월_남_거주자_60~69세","2022년11월_여_거주자_총인구수","2022년11월_여_거주자_연령구간인구수","2022년11월_여_거주자_0~9세","2022년11월_여_거주자_10~19세","2022년11월_여_거주자_20~29세","2022년11월_여_거주자_30~39세","2022년11월_여_거주자_40~49세","2022년11월_여_거주자_50~59세","2022년11월_여_거주자_60~69세","2022년12월_거주자_총인구수","2022년12월_거주자_연령구간인구수","2022년12월_거주자_0~9세","2022년12월_거주자_10~19세","2022년12월_거주자_20~29세","2022년12월_거주자_30~39세","2022년12월_거주자_40~49세","2022년12월_거주자_50~59세","2022년12월_거주자_60~69세","2022년12월_남_거주자_총인구수","2022년12월_남_거주자_연령구간인구수","2022년12월_남_거주자_0~9세","2022년12월_남_거주자_10~19세","2022년12월_남_거주자_20~29세","2022년12월_남_거주자_30~39세","2022년12월_남_거주자_40~49세","2022년12월_남_거주자_50~59세","2022년12월_남_거주자_60~69세","2022년12월_여_거주자_총인구수","2022년12월_여_거주자_연령구간인구수","2022년12월_여_거주자_0~9세","2022년12월_여_거주자_10~19세","2022년12월_여_거주자_20~29세","2022년12월_여_거주자_30~39세","2022년12월_여_거주자_40~49세","2022년12월_여_거주자_50~59세","2022년12월_여_거주자_60~69세"
"경기도 김포시 (4157000000)","482,780","441,370","51,023","50,816","50,941","71,570","92,773","69,687","54,560","241,313","223,294","26,085","25,840","26,137","34,968","48,008","35,572","26,684","241,467","218,076","24,938","24,976","24,804","36,602","44,765","34,115","27,876","482,118","440,440","50,543","50,900","50,774","71,148","92,586","69,720","54,769","241,018","222,874","25,865","25,874","26,061","34,780","47,896","35,583","26,815","241,100","217,566","24,678","25,026","24,713","36,368","44,690","34,137","27,954","481,882","440,023","50,112","51,095","50,573","70,824","92,688","69,742","54,989","240,825","222,586","25,632","25,982","25,965","34,603","47,884","35,611","26,909","241,057","217,437","24,480","25,113","24,608","36,221","44,804","34,131","28,080","482,102","440,088","49,827","51,247","50,467","70,628","92,758","69,798","55,363","240,864","222,554","25,474","26,087","25,881","34,496","47,843","35,672","27,101","241,238","217,534","24,353","25,160","24,586","36,132","44,915","34,126","28,262","482,230","440,042","49,470","51,496","50,374","70,324","92,942","69,883","55,553","240,918","222,524","25,311","26,188","25,851","34,379","47,904","35,686","27,205","241,312","217,518","24,159","25,308","24,523","35,945","45,038","34,197","28,348","482,242","439,900","49,219","51,641","50,248","69,949","93,126","69,998","55,719","240,861","222,377","25,178","26,245","25,774","34,181","48,007","35,713","27,279","241,381","217,523","24,041","25,396","24,474","35,768","45,119","34,285","28,440"
"경기도 김포시 통진읍(4157025000)","29,298","25,536","1,684","2,365","3,458","3,146","4,250","5,575","5,058","15,618","14,049","849","1,277","2,056","1,776","2,365","3,045","2,681","13,680","11,487","835","1,088","1,402","1,370","1,885","2,530","2,377","29,459","25,650","1,680","2,361","3,474","3,165","4,250","5,620","5,100","15,713","14,121","855","1,272","2,064","1,787","2,365","3,071","2,707","13,746","11,529","825","1,089","1,410","1,378","1,885","2,549","2,393","29,585","25,762","1,665","2,381","3,475","3,197","4,293","5,614","5,137","15,771","14,169","843","1,286","2,066","1,803","2,389","3,066","2,716","13,814","11,593","822","1,095","1,409","1,394","1,904","2,548","2,421","30,062","26,222","1,723","2,403","3,493","3,378","4,370","5,642","5,213","16,004","14,392","870","1,296","2,073","1,894","2,419","3,092","2,748","14,058","11,830","853","1,107","1,420","1,484","1,951","2,550","2,465","30,439","26,542","1,748","2,416","3,555","3,476","4,408","5,669","5,270","16,187","14,552","887","1,299","2,093","1,957","2,435","3,096","2,785","14,252","11,990","861","1,117","1,462","1,519","1,973","2,573","2,485","30,563","26,642","1,745","2,443","3,534","3,512","4,419","5,677","5,312","16,243","14,599","881","1,318","2,073","1,971","2,447","3,106","2,803","14,320","12,043","864","1,125","1,461","1,541","1,972","2,571","2,509"
"경기도 김포시 고촌읍(4157025300)","47,895","44,486","6,224","4,921","4,149","7,950","9,787","6,097","5,358","23,828","22,230","3,243","2,542","2,056","3,730","5,045","3,069","2,545","24,067","22,256","2,981","2,379","2,093","4,220","4,742","3,028","2,813","47,758","44,339","6,172","4,938","4,126","7,878","9,776","6,087","5,362","23,759","22,161","3,227","2,551","2,054","3,679","5,031","3,072","2,547","23,999","22,178","2,945","2,387","2,072","4,199","4,745","3,015","2,815","47,696","44,270","6,118","4,986","4,091","7,800","9,818","6,093","5,364","23,689","22,083","3,194","2,573","2,024","3,642","5,039","3,069","2,542","24,007","22,187","2,924","2,413","2,067","4,158","4,779","3,024","2,822","47,672","44,238","6,095","5,026","4,070","7,747","9,837","6,078","5,385","23,671","22,057","3,178","2,601","2,007","3,618","5,037","3,063","2,553","24,001","22,181","2,917","2,425","2,063","4,129","4,800","3,015","2,832","47,722","44,261","6,064","5,063","4,046","7,709","9,887","6,093","5,399","23,694","22,062","3,160","2,632","1,997","3,603","5,056","3,061","2,553","24,028","22,199","2,904","2,431","2,049","4,106","4,831","3,032","2,846","47,676","44,203","6,032","5,104","4,029","7,617","9,921","6,092","5,408","23,684","22,043","3,154","2,647","1,997","3,551","5,076","3,058","2,560","23,992","22,160","2,878","2,457","2,032","4,066","4,845","3,034","2,848"
"경기도 김포시 양촌읍(4157025600)","29,496","26,046","2,132","2,577","2,992","3,936","4,869","4,919","4,621","15,482","14,000","1,092","1,346","1,632","2,140","2,729","2,684","2,377","14,014","12,046","1,040","1,231","1,360","1,796","2,140","2,235","2,244","29,571","26,104","2,127","2,573","3,009","3,946","4,865","4,908","4,676","15,525","14,031","1,090","1,347","1,638","2,146","2,726","2,670","2,414","14,046","12,073","1,037","1,226","1,371","1,800","2,139","2,238","2,262","29,583","26,091","2,111","2,582","2,990","3,934","4,870","4,902","4,702","15,527","14,019","1,087","1,347","1,630","2,129","2,723","2,670","2,433","14,056","12,072","1,024","1,235","1,360","1,805","2,147","2,232","2,269","29,541","26,028","2,097","2,573","2,979","3,907","4,874","4,888","4,710","15,510","13,987","1,080","1,341","1,622","2,105","2,729","2,669","2,441","14,031","12,041","1,017","1,232","1,357","1,802","2,145","2,219","2,269","29,521","25,992","2,070","2,588","2,968","3,867","4,865","4,905","4,729","15,501","13,970","1,065","1,348","1,623","2,075","2,729","2,676","2,454","14,020","12,022","1,005","1,240","1,345","1,792","2,136","2,229","2,275","29,564","26,026","2,059","2,579","2,984","3,861","4,889","4,911","4,743","15,511","13,975","1,057","1,344","1,624","2,079","2,740","2,675","2,456","14,053","12,051","1,002","1,235","1,360","1,782","2,149","2,236","2,287"
"경기도 김포시 대곶면(4157034000)","9,929","8,171","308","505","861","870","1,264","2,123","2,240","5,797","4,981","167","278","540","540","805","1,335","1,316","4,132","3,190","141","227","321","330","459","788","924","9,922","8,152","312","496","861","878","1,261","2,108","2,236","5,790","4,972","167","273","535","551","798","1,331","1,317","4,132","3,180","145","223","326","327","463","777","919","9,924","8,144","309","492","862","880","1,241","2,107","2,253","5,790","4,967","167","269","528","557","785","1,334","1,327","4,134","3,177","142","223","334","323","456","773","926","9,903","8,112","309","490","853","865","1,223","2,114","2,258","5,768","4,936","162","271","517","544","773","1,339","1,330","4,135","3,176","147","219","336","321","450","775","928","9,889","8,096","319","484","845","860","1,218","2,117","2,253","5,754","4,920","164","266","514","538","771","1,338","1,329","4,135","3,176","155","218","331","322","447","779","924","9,864","8,062","311","488","845","855","1,209","2,114","2,240","5,729","4,890","162","264","513","534","759","1,336","1,322","4,135","3,172","149","224","332","321","450","778","918"
"경기도 김포시 월곶면(4157035000)","5,371","4,205","116","232","450","403","554","1,081","1,369","2,958","2,407","53","107","275","244","341","624","763","2,413","1,798","63","125","175","159","213","457","606","5,378","4,201","121","234","447","403","554","1,073","1,369","2,955","2,397","57","108","271","241","338","618","764","2,423","1,804","64","126","176","162","216","455","605","5,368","4,194","119","230","443","406","551","1,075","1,370","2,956","2,400","56","108","267","244","337","622","766","2,412","1,794","63","122","176","162","214","453","604","5,363","4,175","120","224","441","413","543","1,067","1,367","2,950","2,386","57","105","263","248","333","615","765","2,413","1,789","63","119","178","165","210","452","602","5,347","4,167","118","224","435","413","546","1,057","1,374","2,934","2,375","56","103","258","247","336","614","761","2,413","1,792","62","121","177","166","210","443","613","5,331","4,148","118","221","432","413","535","1,055","1,374","2,922","2,358","57","100","256","246","326","613","760","2,409","1,790","61","121","176","167","209","442","614"
"경기도 김포시 하성면(4157036000)","8,092","6,381","254","419","705","672","843","1,574","1,914","4,395","3,655","117","248","442","388","513","888","1,059","3,697","2,726","137","171","263","284","330","686","855","8,085","6,363","252","415","710","671","831","1,564","1,920","4,396","3,650","116","251","440","388","511","876","1,068","3,689","2,713","136","164","270","283","320","688","852","8,063","6,345","251","420","702","663","831","1,547","1,931","4,379","3,635","115","252","436","381","509","869","1,073","3,684","2,710","136","168","266","282","322","678","858","8,053","6,336","251","419","697","668","827","1,536","1,938","4,374","3,629","117","251","434","383","505","862","1,077","3,679","2,707","134","168","263","285","322","674","861","8,037","6,316","246","416","698","660","828","1,537","1,931","4,377","3,627","115","250","436","378","506","871","1,071","3,660","2,689","131","166","262","282","322","666","860","8,020","6,294","238","419","694","653","824","1,526","1,940","4,361","3,608","110","250","432","374","502","862","1,078","3,659","2,686","128","169","262","279","322","664","862"
"경기도 김포시 김포본동(4157051500)","59,807","54,419","5,453","6,220","7,325","7,657","10,276","10,291","7,197","29,382","27,105","2,757","3,130","3,867","3,724","5,059","5,005","3,563","30,425","27,314","2,696","3,090","3,458","3,933","5,217","5,286","3,634","59,487","54,090","5,376","6,198","7,256","7,588","10,182","10,267","7,223","29,244","26,959","2,731","3,112","3,855","3,694","5,004","4,999","3,564","30,243","27,131","2,645","3,086","3,401","3,894","5,178","5,268","3,659","59,381","53,963","5,337","6,202","7,227","7,557","10,150","10,241","7,249","29,195","26,900","2,713","3,117","3,839","3,677","4,995","4,977","3,582","30,186","27,063","2,624","3,085","3,388","3,880","5,155","5,264","3,667","59,339","53,901","5,303","6,210","7,200","7,536","10,142","10,195","7,315","29,152","26,845","2,696","3,125","3,820","3,661","4,984","4,949","3,610","30,187","27,056","2,607","3,085","3,380","3,875","5,158","5,246","3,705","59,237","53,805","5,241","6,236","7,157","7,491","10,146","10,172","7,362","29,104","26,800","2,666","3,137","3,806","3,640","4,976","4,927","3,648","30,133","27,005","2,575","3,099","3,351","3,851","5,170","5,245","3,714","59,229","53,747","5,220","6,232","7,120","7,487","10,114","10,187","7,387","29,103","26,768","2,663","3,134","3,778","3,642","4,976","4,923","3,652","30,126","26,979","2,557","3,098","3,342","3,845","5,138","5,264","3,735"
"경기도 김포시 장기본동(4157052500)","38,304","35,586","4,225","5,617","3,842","4,856","8,351","5,343","3,352","18,679","17,484","2,129","2,861","1,933","2,238","4,092","2,690","1,541","19,625","18,102","2,096","2,756","1,909","2,618","4,259","2,653","1,811","38,220","35,488","4,182","5,624","3,828","4,817","8,309","5,361","3,367","18,653","17,447","2,103","2,876","1,921","2,235","4,058","2,708","1,546","19,567","18,041","2,079","2,748","1,907","2,582","4,251","2,653","1,821","38,375","35,634","4,151","5,688","3,835","4,807","8,385","5,376","3,392","18,704","17,495","2,084","2,908","1,917","2,224","4,086","2,721","1,555","19,671","18,139","2,067","2,780","1,918","2,583","4,299","2,655","1,837","38,559","35,798","4,140","5,725","3,857","4,818","8,418","5,414","3,426","18,799","17,584","2,084","2,926","1,923","2,230","4,104","2,747","1,570","19,760","18,214","2,056","2,799","1,934","2,588","4,314","2,667","1,856","38,695","35,915","4,131","5,790","3,860","4,789","8,481","5,436","3,428","18,854","17,631","2,083","2,946","1,937","2,211","4,120","2,766","1,568","19,841","18,284","2,048","2,844","1,923","2,578","4,361","2,670","1,860","38,774","35,977","4,099","5,822","3,860","4,767","8,507","5,477","3,445","18,882","17,645","2,075","2,954","1,934","2,195","4,132","2,787","1,568","19,892","18,332","2,024","2,868","1,926","2,572","4,375","2,690","1,877"
"경기도 김포시 사우동(4157054000)","22,199","19,813","1,398","2,024","2,895","2,771","3,597","4,071","3,057","11,137","10,145","746","1,053","1,534","1,461","1,832","2,004","1,515","11,062","9,668","652","971","1,361","1,310","1,765","2,067","1,542","22,157","19,755","1,380","2,027","2,884","2,764","3,575","4,062","3,063","11,109","10,115","733","1,054","1,524","1,457","1,828","1,987","1,532","11,048","9,640","647","973","1,360","1,307","1,747","2,075","1,531","22,088","19,667","1,365","2,020","2,842","2,762","3,553","4,068","3,057","11,067","10,069","723","1,053","1,511","1,451","1,815","1,985","1,531","11,021","9,598","642","967","1,331","1,311","1,738","2,083","1,526","21,984","19,563","1,343","2,015","2,819","2,717","3,546","4,055","3,068","11,016","10,021","714","1,054","1,502","1,422","1,803","1,993","1,533","10,968","9,542","629","961","1,317","1,295","1,743","2,062","1,535","21,888","19,477","1,310","2,018","2,806","2,690","3,523","4,057","3,073","10,965","9,973","700","1,056","1,498","1,413","1,786","1,991","1,529","10,923","9,504","610","962","1,308","1,277","1,737","2,066","1,544","21,784","19,390","1,301","2,005","2,788","2,687","3,500","4,036","3,073","10,921","9,938","696","1,051","1,496","1,413","1,772","1,984","1,526","10,863","9,452","605","954","1,292","1,274","1,728","2,052","1,547"
